id,user_id,event_type,timestamp,details
1,331482026,response_activity,2024-11-24 22:27:34.119782,
2,331482026,answer_activity,2024-11-24 22:27:35.177979,Работаю / Учусь
3,331482026,answer_emotional,2024-11-24 22:27:36.371552,Очень хорошее
4,331482026,response_physical,2024-11-24 22:27:36.556688,
5,331482026,answer_physical,2024-11-24 22:27:37.606509,Нормальное
6,331482026,response_activity,2024-11-24 23:27:37.607887,
7,331482026,answer_activity,2024-11-25 06:57:33.943414,Работаю / Учусь
8,331482026,answer_emotional,2024-11-25 06:57:38.880827,Удовлетворительное
9,331482026,response_physical,2024-11-25 06:57:39.121414,
10,331482026,answer_physical,2024-11-25 06:57:44.798782,Нормальное
11,331482026,response_activity,2024-11-25 07:57:44.802057,
12,331482026,answer_activity,2024-11-25 07:58:22.193384,Отдыхаю / Смотрю видео
13,331482026,answer_emotional,2024-11-25 07:58:24.603210,Хорошее
14,331482026,response_physical,2024-11-25 07:58:24.791597,
15,331482026,answer_physical,2024-11-25 07:58:30.073092,Нормальное
16,331482026,response_activity,2024-11-25 08:58:30.074979,
17,331482026,answer_activity,2024-11-25 09:23:46.006748,Работаю / Учусь
18,331482026,answer_emotional,2024-11-25 09:23:48.536272,Очень хорошее
19,331482026,response_physical,2024-11-25 09:23:48.795544,
20,331482026,answer_physical,2024-11-25 09:23:50.334499,Хорошее
21,331482026,response_activity,2024-11-25 10:23:50.335843,
22,331482026,answer_activity,2024-11-25 10:24:00.626547,Работаю / Учусь
23,331482026,answer_emotional,2024-11-25 10:24:09.324046,Прекрасное
24,331482026,response_physical,2024-11-25 10:24:09.516353,
25,331482026,answer_physical,2024-11-25 10:24:17.332494,Хорошее
26,331482026,response_activity,2024-11-25 11:24:17.336742,
27,331482026,answer_activity,2024-11-25 11:24:29.489077,Отдыхаю / Смотрю видео
28,331482026,answer_emotional,2024-11-25 11:24:31.659266,Очень хорошее
29,331482026,response_physical,2024-11-25 11:24:32.202476,
30,331482026,answer_physical,2024-11-25 11:24:36.345010,Хорошее
31,331482026,response_activity,2024-11-25 12:24:36.347143,
32,331482026,answer_activity,2024-11-25 12:24:46.530244,Отдыхаю / Смотрю видео
33,331482026,answer_emotional,2024-11-25 12:24:49.558769,Очень хорошее
34,331482026,response_physical,2024-11-25 12:24:49.755186,
35,331482026,answer_physical,2024-11-25 12:24:50.976472,Хорошее
36,331482026,response_activity,2024-11-25 13:24:50.978959,
37,331482026,answer_activity,2024-11-25 13:29:24.674773,Работаю / Учусь
38,331482026,answer_emotional,2024-11-25 13:29:33.448622,Прекрасное
39,331482026,response_physical,2024-11-25 13:29:33.641075,
40,331482026,answer_physical,2024-11-25 13:29:35.403853,Отличное
41,331482026,response_activity,2024-11-25 14:29:35.408753,
42,331482026,answer_activity,2024-11-25 14:30:14.160311,Работаю / Учусь
43,331482026,answer_emotional,2024-11-25 14:30:18.034750,Прекрасное
44,331482026,response_physical,2024-11-25 14:30:18.261327,
45,331482026,answer_physical,2024-11-25 14:30:19.514047,Отличное
46,331482026,answer_activity,2024-11-25 15:04:11.543567,Работаю / Учусь
47,331482026,answer_emotional,2024-11-25 15:04:14.107619,Прекрасное
48,331482026,response_physical,2024-11-25 15:04:14.315304,
49,331482026,answer_physical,2024-11-25 15:04:15.573371,Отличное
50,331482026,response_activity,2024-11-25 16:04:15.574842,
51,331482026,answer_activity,2024-11-25 16:32:19.258076,Гуляю
52,331482026,answer_emotional,2024-11-25 16:32:22.490771,Очень хорошее
53,331482026,response_physical,2024-11-25 16:32:22.741236,
54,331482026,answer_physical,2024-11-25 16:32:25.610199,Хорошее
55,331482026,response_activity,2024-11-25 17:32:25.612369,
56,331482026,answer_activity,2024-11-25 19:15:05.165011,Отдыхаю / Смотрю видео
57,331482026,answer_emotional,2024-11-25 19:15:08.196388,Удовлетворительное
58,331482026,response_physical,2024-11-25 19:15:08.391764,
59,331482026,answer_physical,2024-11-25 19:15:10.754198,Нормальное
60,331482026,response_activity,2024-11-25 20:15:10.764749,
61,331482026,answer_activity,2024-11-25 20:22:23.304738,Отдыхаю / Смотрю видео
62,331482026,answer_emotional,2024-11-25 20:22:32.646504,Нормальное
